1,Emu
2,Magpie Goose
3,Plumed Whistling Duck
4,Cape Barren Goose
5,Freckled Duck
6,Black Swan
7,Australian Shelduck
8,Australian Wood Duck
9,Australasian Shoveler
10,Pacific Black Duck
11,Grey Teal
12,Chestnut Teal
13,Pink-eared Duck
14,Hardhead
15,Blue-billed Duck
16,Musk Duck
17,Malleefowl
18,Brown Quail
19,Stubble Quail
20,Australasian Grebe
21,Hoary-headed Grebe
22,Great Crested Grebe
23,Rock Dove
24,White-headed Pigeon
25,Spotted Dove
26,Common Bronzewing
27,Brush Bronzewing
28,Crested Pigeon
29,Wonga Pigeon
30,Peaceful Dove
31,Topknot Pigeon
32,Pacific Koel
33,Channel-billed Cuckoo
34,Horsfield's Bronze Cuckoo
35,Black-eared Cuckoo
36,Shining Bronze Cuckoo
37,Pallid Cuckoo
38,Fan-tailed Cuckoo
39,Brush Cuckoo
40,Tawny Frogmouth
41,Spotted Nightjar
42,White-throated Nightjar
43,Australian Owlet-nightjar
44,White-throated Needletail
45,Lewin's Rail
46,Buff-banded Rail
47,Black-tailed Nativehen
48,Australian Spotted Crake
49,Dusky Moorhen
50,Eurasian Coot
51,Australasian Swamphen
52,Baillon's Crake
53,Spotless Crake
54,Brolga
55,Pied Stilt
56,Banded Stilt
57,Red-necked Avocet
58,Australian Pied Oystercatcher
59,Sooty Oystercatcher
60,Pacific Golden Plover
61,Banded Lapwing
62,Masked Lapwing
63,Lesser Sand Plover
64,Greater Sand Plover
65,Double-banded Plover
66,Red-capped Plover
67,Red-kneed Dotterel
68,Hooded Plover
69,Black-fronted Dotterel
70,Inland Dotterel
71,Plains-wanderer
72,Eurasian Whimbrel
73,Hudsonian Whimbrel
74,Eastern Curlew
75,Bar-tailed Godwit
76,Black-tailed Godwit
77,Ruddy Turnstone
78,Great Knot
79,Red Knot
80,Sharp-tailed Sandpiper
81,Curlew Sandpiper
82,Long-toed Stint
83,Red-necked Stint
84,Sanderling
85,Buff-breasted Sandpiper
86,Pectoral Sandpiper
87,Latham's Snipe
88,Terek Sandpiper
89,Common Sandpiper
90,Grey-tailed Tattler
91,Common Greenshank
92,Marsh Sandpiper
93,Wood Sandpiper
94,Painted Buttonquail
95,Little Buttonquail
96,Brown Skua
97,Pomarine Jaeger
98,Arctic Jaeger
99,Long-tailed Jaeger
100,Silver Gull
101,Pacific Gull
102,Kelp Gull
103,Little Tern
104,Fairy Tern
105,Gull-billed Tern
106,Australian Tern
107,Caspian Tern
108,White-winged Black Tern
109,Whiskered Tern
110,White-fronted Tern
111,Common Tern
112,Arctic Tern
113,Crested Tern
114,Little Penguin
115,Yellow-nosed Albatross
116,Buller's Albatross
117,Shy Albatross
118,Salvin's Albatross
119,Black-browed Albatross
120,Campbell Albatross
121,Northern Royal Albatross
122,Southern Royal Albatross
123,Wandering Albatross
124,Antipodean Albatross
125,Wilson's Storm Petrel
126,Grey-backed Storm Petrel
127,White-faced Storm Petrel
128,Northern Giant Petrel
129,Great-winged Petrel
130,Grey-faced Petrel
131,Providence Petrel
132,White-headed Petrel
133,Fairy Prion
134,Antarctic Prion
135,White-chinned Petrel
136,Flesh-footed Shearwater
137,Wedge-tailed Shearwater
138,Buller's Shearwater
139,Sooty Shearwater
140,Short-tailed Shearwater
141,Hutton's Shearwater
142,Fluttering Shearwater
143,Common Diving Petrel
144,Cape Gannet
145,Australasian Gannet
146,Australasian Darter
147,Little Pied Cormorant
148,Great Cormorant
149,Little Black Cormorant
150,Pied Cormorant
151,Black-faced Cormorant
152,Australian Pelican
153,Australasian Bittern
154,Australian Little Bittern
155,White-necked Heron
156,Great Egret
157,Intermediate Egret
158,White-faced Heron
159,Little Egret
160,Eastern Reef Egret
161,Eastern Cattle Egret
162,Striated Heron
163,Nankeen Night Heron
164,Glossy Ibis
165,Australian White Ibis
166,Straw-necked Ibis
167,Royal Spoonbill
168,Yellow-billed Spoonbill
169,Black-shouldered Kite
170,Square-tailed Kite
171,Little Eagle
172,Wedge-tailed Eagle
173,Swamp Harrier
174,Spotted Harrier
175,Grey Goshawk
176,Brown Goshawk
177,Collared Sparrowhawk
178,Black Kite
179,Whistling Kite
180,White-bellied Sea-Eagle
181,Greater Sooty Owl
182,Barn Owl
183,Powerful Owl
184,Barking Owl
185,Australian Boobook
186,Morepork
187,Azure Kingfisher
188,Laughing Kookaburra
189,Red-backed Kingfisher
190,Sacred Kingfisher
191,Rainbow Bee-eater
192,Oriental Dollarbird
193,Nankeen Kestrel
194,Australian Hobby
195,Brown Falcon
196,Black Falcon
197,Peregrine Falcon
198,Red-tailed Black Cockatoo
199,Glossy Black Cockatoo
200,Yellow-tailed Black Cockatoo
201,Gang-gang Cockatoo
